model,dataset,metric,n,pcc,n_qcbw,excluded
gemma-2-9b,SQuAD,Omega,5928,0.5552867634482792,0,0
gemma-2-9b,SQuAD,Delta_in,5928,0.13973017506922172,0,0
gemma-2-9b,nq_open,Omega,3610,0.45833805094097047,896,0
gemma-2-9b,nq_open,Delta_in,3610,0.12928162070056878,896,0
gemma-2-9b,race,Omega,3498,0.22062334857387142,0,0
gemma-2-9b,race,Delta_in,3498,-0.01965167903517904,0,0
gemma-2-9b,triviaqa,Omega,9960,0.6624961744167384,2375,0
gemma-2-9b,triviaqa,Delta_in,9960,0.0002556583971034331,2375,0
llama3-8b,SQuAD,Omega,5928,0.5618119548545252,0,0
llama3-8b,SQuAD,Delta_in,5928,0.01270659457369226,0,0
llama3-8b,nq_open,Omega,3610,0.6595170998081998,795,0
llama3-8b,nq_open,Delta_in,3610,0.419320211597186,795,0
llama3-8b,race,Omega,3498,0.5334911742349309,0,0
llama3-8b,race,Delta_in,3498,0.15395082307660882,0,0
llama3-8b,triviaqa,Omega,9960,0.4794128518644904,1231,0
llama3-8b,triviaqa,Delta_in,9960,0.5353499902743609,1231,0
