model,dataset,base_s,total_s,overhead_s,overhead_pct
Llama3-8B,RACE,1.5021086,1.710671223,0.20856262300000017,13.884656741862752
Llama3-8B,SQuAD,1.616885471,1.844477796,0.22759232500000004,14.075970690690932
Llama3-8B,NQ,0.8819221277,1.094506932,0.21258480430000004,24.10471374092954
Llama3-8B,TriviaQA,2.564959401,2.739141307,0.17418190600000028,6.790825068501748
Llama3-8B-instruct,RACE,1.862410724,2.17750701,0.3150962859999997,16.918732368725326
Llama3-8B-instruct,SQuAD,0.9818473086,1.228967679,0.2471203703999999,25.16892069015953
Llama3-8B-instruct,NQ,1.059797783,1.29241018,0.23261239700000003,21.94875293487947
Llama3-8B-instruct,TriviaQA,2.270916943,2.494267037,0.22335009400000017,9.835238346715713
Llama3-3b,RACE,0.5763485539,0.7439748981,0.1676263442,29.084196197893856
Llama3-3b,SQuAD,1.326367695,1.558748068,0.23238037300000003,17.520056759223166
Llama3-3b,NQ,0.6497992814,0.8940393071,0.24424002570000003,37.586995352439004
Llama3-3b,TriviaQA,1.332219418,1.526228759,0.1940093410000001,14.562866925574276
Llama3-3b-instruct,RACE,1.491121277,1.85667013,0.36554885299999995,24.515031650239134
Llama3-3b-instruct,SQuAD,0.9383935032,1.320888925,0.38249542179999996,40.760663889472674
Llama3-3b-instruct,NQ,1.039436891,1.347843967,0.30840707599999995,29.670591708871715
Llama3-3b-instruct,TriviaQA,1.747574563,1.992507622,0.24493305900000006,14.015599916923263
Gemma2-9B,RACE,0.5171044338,0.6734017427,0.15629730889999993,30.225482259247247
Gemma2-9B,SQuAD,1.375946449,1.525897372,0.149950923,10.898020276078347
Gemma2-9B,NQ,1.029622436,1.168013812,0.13839137600000018,13.440982942994086
Gemma2-9B,TriviaQA,1.011944533,1.152254707,0.1403101739999999,13.865401652404586
Gemma2-9B-Instruct,RACE,0.7497729018,0.9054565408,0.15568363900000004,20.764105854752305
Gemma2-9B-Instruct,SQuAD,0.5886834543,0.7469862435,0.15830278919999996,26.890986665870685
Gemma2-9B-Instruct,NQ,1.030186019,1.175069434,0.14488341500000002,14.06381103294705
Gemma2-9B-Instruct,TriviaQA,1.013306397,1.157807288,0.14450089100000008,14.260335415606782
