,,RACE,SQuAD,NQ,TriviaQA,,,,,
Model,,Time,Time,Time,Time,Average Time across datasets,,,,
Llama3-8B,Single Gen,1.5021086,1.616885471,0.8819221277,2.564959401,,,,,
,Multiple Gen(5),5.465520898,5.500088386,2.525269477,6.750254652,,,,,
,Perplexity,1.516855333,1.648439582,0.904375958,2.601601624,1.667818124,-10.75544074,,,
,Energy,1.517129203,1.648341311,0.9039439163,2.601451331,1.66771644,-10.76219372,,,
,LN-Entropy,5.564061984,5.703986258,2.668349795,6.967403383,5.225950355,64.65333214,,,
,Lexical Similarity,5.471697294,5.504461582,2.528072823,6.764617357,5.067212264,63.5460443,,,
,Eigenscore,5.466905004,5.502454318,2.527598221,6.751802113,5.062189914,63.50987723,,,
,unbiased_HSIC_16_key,1.710671223,1.844477796,1.094506932,2.739141307,1.847199314,0,,,
Llama3-8B-instruct,Single Gen,1.862410724,0.9818473086,1.059797783,2.270916943,1.543743189,-16.48880389,,,50.81644488
,Multiple Gen(5),5.001248736,2.427334227,2.154246575,5.416127684,3.749739306,52.04232002,,,
,Perplexity,1.895473503,0.9975526955,1.078835759,2.310219717,1.570520419,-14.50268045,,,
,Energy,1.893832478,0.9967483904,1.077940377,2.305651819,1.568543266,-14.64701135,,,
,LN-Entropy,5.176663777,2.528476314,2.264411709,5.621800366,3.897838041,53.86447673,,,
,Lexical Similarity,5.005505272,2.430234325,2.157665453,5.425384732,3.754697446,52.10564892,,,
,Eigenscore,5.004368765,2.429619113,2.156468924,5.418406159,3.75221574,52.07397173,,,
,unbiased_HSIC_16_key,2.17750701,1.228967679,1.29241018,2.494267037,1.798287976,0,,,
Llama3-3b,Single Gen,0.5763485539,1.326367695,0.6497992814,1.332219418,0.971183737,-21.57820534,,,
,Multiple Gen(5),1.652110976,3.798385569,2.11428097,4.202284535,2.941765513,59.86261471,,,
,Perplexity,0.5782289183,1.357643808,0.6730314093,1.363544435,0.9931121427,-18.89369864,,,
,Energy,0.5782670076,1.356364777,0.6730467925,1.362506064,0.9925461604,-18.96149572,,,
,LN-Entropy,1.689692587,4.216926995,2.484364372,4.692110157,3.270773528,63.90004541,,,
,Lexical Similarity,1.656429257,3.803035275,2.117184457,4.211171725,2.946955178,59.93329771,,,
,Eigenscore,1.65265407,3.801371104,2.118162488,4.204583168,2.944192708,59.89570401,,,
,unbiased_HSIC_16_key,0.7439748981,1.558748068,0.8940393071,1.526228759,1.180747758,0,,,
Llama3-3b-instruct,Single Gen,1.491121277,0.9383935032,1.039436891,1.747574563,1.304131559,-24.9473376,,,
,Multiple Gen(5),3.71212929,2.328232314,3.200678237,4.316089216,3.389282264,51.92263334,,,
,Perplexity,1.532192847,0.9670384636,1.086210805,1.808543397,1.348496378,-20.83663611,,,
,Energy,1.532577465,0.9699219606,1.087592907,1.80751026,1.349400648,-20.75566017,,,
,LN-Entropy,4.159981173,2.675257465,3.906934185,5.047795668,3.947492123,58.72119283,,,
,Lexical Similarity,3.71584541,2.330254322,3.205032883,4.325056153,3.394047192,51.99012951,,,
,Eigenscore,3.717513675,2.335391212,3.206616909,4.320072613,3.394898602,52.00216996,,,
,unbiased_HSIC_16_key,1.85667013,1.320888925,1.347843967,1.992507622,1.629477661,0,,,
Gemma2-9B,Single Gen,0.5171044338,1.375946449,1.029622436,1.011944533,0.9836544628,-14.86674957,,,
,Multiple Gen(5),1.226179446,3.600580351,1.457370612,1.396569714,1.920175031,41.15682736,,,
,Perplexity,0.5179936538,1.378783181,1.031784061,1.014061152,0.9856555119,-14.63355044,,,
,Energy,0.5178238015,1.378142917,1.031326051,1.013625059,0.9852294568,-14.68312286,,50.80415142,
,LN-Entropy,1.232753596,3.621470142,1.471457705,1.409881011,1.933890614,41.57415624,,,
,Lexical Similarity,1.227534174,3.604300066,1.459560641,1.398703823,1.922524676,41.22874351,,,
,Eigenscore,1.226817416,3.601247366,1.458034765,1.397188829,1.920822094,41.17664972,,,
,unbiased_HSIC_16_key,0.6734017427,1.525897372,1.168013812,1.152254707,1.129891908,0,,,
Gemma2-9B-Instruct,Single Gen,0.7497729018,0.5886834543,1.030186019,1.013306397,0.8454871932,-17.84091879,,,
,Multiple Gen(5),1.912721207,1.157783391,1.56030123,1.60972686,1.560133172,36.13815189,,,
,Perplexity,0.7511297431,0.5898428936,1.032345658,1.015433031,0.8471878315,-17.60436583,,,
,Energy,0.7508387554,0.5896264243,1.03190504,1.014960906,0.8468327814,-17.65367361,,,
,LN-Entropy,1.924084373,1.167201368,1.57621472,1.625254366,1.573188707,36.66812682,,,
,Lexical Similarity,1.914891531,1.159482721,1.562996195,1.612240529,1.562402744,36.23091866,,,
,Eigenscore,1.913571277,1.158368598,1.560965848,1.61040186,1.560826896,36.16653587,,,
,unbiased_HSIC_16_key,0.9054565408,0.7469862435,1.175069434,1.157807288,0.9963298767,0,,,
